statement,label,__index_level_0__
"The book is popular because it's good, and it's good because it's popular.",circular reasoning,2617
"This policy is effective because it's popular, and it's popular because it's effective.",circular reasoning,5074
"I know that our TV advertisements are more effective than radio. The numbers show that we hit twice the audience with TV, and our focus groups remember the TV commercial 38 percent more than the radio slot.",faulty generalization,1293
"President Trump , who in the past has called global warming a hoax , has vowed to pull the United States out of the accord as soon as that becomes possible , in 2020 . The 2017 National Climate Assessment , released in November , concluded what it has for nearly three decades : Human-made climate change is real , and the impacts have already started .",intentional,4359
A commercial shows a group of friends all hanging out wearing clothes from a popular clothing company. This is an example of,ad populum,5189
"""I don't know how Professor Resnick can be such a hard grader.  He's always late for class. """,ad hominem,3574
"Extreme melting and changes to the climate may have released pressure on to the continent , allowing the ground to rise up , a Nature report claims .",false causality,2484
"Since Samantha got that new apron, she hasn't burned any cookies. That new apron sure does help her cooking!",false causality,5590
"The athlete is world-class, so he must be the best in the world.",equivocation,3927
She should not be voted president because she's a liar and a thief.,ad hominem,368
"Maury: Please put all my chips on red 21.
Dealer: Are you sure you want to do that?  Red 21 just came up in the last spin.
Maury:  I didn't know that!  Thank you!  Put it on black 15 instead.  I can't believe I almost made that mistake!",false causality,3395
"You can look cool in our clothes, or you can look like a loser.",false dilemma,1151
I dropped the ball because Mercury is in retrograde.,false causality,5122
"If we let our child out of his room, eventually he will want to leave the house, and will end up on the street. If he is walking around on the street then he will be snatched up by a stranger and sold into slavery in a remote region on the World.",faulty generalization,3764
"If you support welfare programs, you must want the government to give people everything for free.",fallacy of extension,2195
"Officer, I was only driving as fast as everyone around me. You can't give me a ticket for doing what every other driver on the road was also doing.",ad populum,4997
He's a great coach because his team wins.,circular reasoning,3320
"After changing my email password, the cafe introduced a new menu. My password change inspired them.",false causality,5703
"The claim that because somebody famous supports an idea, the idea must be right. This fallacy is often used in advertising.",fallacy of credibility,191
"Just like Dr Mann ' s ' hockey stick ' graph he had cut off the tree-ring data just at the point where it stopped showing an upward trend and swapped in thermometer temperatures for recent decades , making them look much warmer .",intentional,3203
Area burned by wildfire increasing ,intentional,108
"My neighbor has three dogs that bark a lot, so all dogs must be noisy.",faulty generalization,174
"If you're in favor of stricter immigration laws, you must be against all immigrants.",fallacy of extension,3132
You either support Hillary Clinton for President or you don't believe in women's rights,false dilemma,5609
"If you disagree with one aspect of my opinion, you must disagree with all of it.",fallacy of extension,1598
"The political commercials described the mayor as a ""monster who ""hated babies but they never discussed his plans for the city.",ad hominem,1360
You can't criticize my diet when others eat far worse.,fallacy of relevance,1860
Geology shows us again there is no correlation between atmospheric carbon dioxide and temperature . Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present .,false causality,5662
"Investing in the stock market is pointless, as not everyone who invests becomes wealthy.",fallacy of logic,5045
"Longer-term data reveal multiple warming periods since the end of the last major ice age 10,000 years ago , each warmer than today .",fallacy of credibility,5644
"If the ozone layer is destroyed, many people will get cancer and suffer from other illnesses.  The ozone layer is being protected, not destroyed.  So, many people will be spared the pain of cancer and other illnesses.",fallacy of logic,2633
"President Obama's decision to arm Syrian rebels, however meagerly, has all but doomed us to an Iraq-style debacle",faulty generalization,3889
But don ' t blame climate change on humans . There are bigger forces at work here .,intentional,1164
Isn ' t it time to start ignoring the calamitous annual claims that this is the hottest year on record ?,fallacy of credibility,3567
aliens must have visited Earth,fallacy of logic,476
"The company is successful because it has a good reputation, and it has a good reputation because it's successful.",circular reasoning,1876
"The judge was fair because he ruled fairly, and ruling fairly makes a judge fair.",equivocation,4317
Don't worry about protecting wildlife here when other places are hunting animals to extinction.,fallacy of relevance,4139
We should prohibit all cadets from assisting on emergency services missions. Some cadets are so immature they won't ever stop goofing around.,fallacy of extension,1616
"With such relatively clean air throughout America , how can even reputable news agencies like Reuters continue spreading the well-worn lie that the United States is one of the "" biggest polluters  in the world ? Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ' s lungs , some have played a shell game , swapping a new measure of "" pollution  based solely on emissions of carbon dioxide .",intentional,312
"If you don't go on vacation, you're just wasting away.",false dilemma,4010
"The report is accurate because the data is reliable, and the data is reliable because the report is accurate.",circular reasoning,508
The writer's life experiences define the depth of the characters.,intentional,166
Voting is pointless because not all elections are won by the better candidate.,fallacy of logic,2153
"All the celebrities are endorsing this, so it must be the best.",ad populum,3862
"If you support free speech, you must support hate speech too.",fallacy of extension,2104
"Access to cleaner water has increased ; mortality from ' Extreme Weather Events ' has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",intentional,1024
"Since you believe in evolution, you must reject all religious beliefs.",fallacy of extension,1221
Why complain about slow internet when people in some countries don't even have access?,fallacy of relevance,3437
The filmmaker's exploration of identity shapes the movie's themes.,intentional,1119
"If you're in favor of stricter immigration laws, you must be against all immigrants.",fallacy of extension,103
"If you criticize one policy, you must think the whole system is flawed.",fallacy of extension,5216
What did you use to wipe your fingerprints from the gun?,intentional,4257
"The simple fact is , humans know very little about the climate cycles of our world .",fallacy of logic,4505
"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""Speaking of exercise, have you ever played 'Just Dance'? What a great workout!""",fallacy of relevance,2929
"If we can send a woman into outerspace and communicate with them while they are there, then surely we can learn to communicate with one another in our state.",fallacy of logic,5608
"We have also been told the problem is DEFINITELY NOT a billions-year-old planet running through cycles where the temperature might fluctuate a bit . Oh , no , that could never be it  so stop saying that could be , you Denier .",intentional,3838
"If you're against this new policy, you must be against all forms of progress.",fallacy of extension,1752
"If you support consumer rights, you must think businesses are harmful.",fallacy of extension,5176
That parking attendant who gave me a ticket is as bad as Hitler.,fallacy of relevance,2181
"""Yesterday, you were late for ten minutes. Today you were late for an hour. You know someday, you will simply cease to show up.""

What logical fallacy is used in the statement above?",faulty generalization,3745
"""Andrea Dworkin has written several books arguing that pornography harms women. But Dworkin is just ugly and bitter, so why should we listen to her?",ad hominem,4015
"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,5305
"In her paper, Aida states ""Filthy, polluting hummers should be banned.""
Name that fallacy:",circular reasoning,1658
The author's illness proves this book is about mortality.,intentional,152
Which type of logical fallacy is used when a writer incorrectly states that one event has caused another?,false causality,2410
"The majority of people enjoy this show, so it has to be good.",ad populum,3346
"The analysis , published by the Breakthrough National Centre for Climate Restoration , a think-tank in Melbourne , Australia , describes climate change as "" a near- to mid-term existential threat to human civilization  and sets out a plausible scenario of where business-as-usual could lead over the next 30 years .",faulty generalization,1583
"Love is blind, so falling in love means ignoring all of someone's flaws.",equivocation,5438
"My friend said that if you sneeze more than three times, you have the corona virus.",fallacy of credibility,2656
"Our garage sale made lots of money before Joan showed up. Obviously, she scared off all the customers.",false causality,725
The novel must be autobiographical because the author grew up in a similar place.,intentional,3165
"Marty: Doc, I'm from the future. I came here in a time machine that you invented. Now, I need your help to get back to the year 1985.
Doc: I've had enough practical jokes for one evening. Good night, future boy!",intentional,1503
"A comprehensive list would run to hundreds , if not thousands , of elements , none of which scientists would claim to understand with absolute precision .",ad populum,2802
"""People who don't support the proposed state minimum wage increase hate the poor.""",fallacy of extension,2387
"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .",fallacy of credibility,3786
"If you don't start recycling now, our entire planet will be destroyed in ten years.",appeal to emotion,1879
"The doctor said the condition was serious, so it must mean he's seriously concerned.",equivocation,5585
"Well , not a debate ¦ because climate alarmists who were invited didn ' t show .",ad hominem,4113
